"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","x1stFlrSF","x2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","x3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","target"
431,"__160","RM",21.0,1680,"Pave","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",232,"TA","TA","CBlock","TA","TA","No","ALQ",387.0,"Unf",0.0,96.0,483.0,"GasA","TA","Y","SBrkr",483,504,0,987,0.0,0.0,1,1,2,1,"TA",4,"Typ",0,"None","Detchd",1971.0,"Unf",1.0,264.0,"TA","TA","Y",0,0,0,0,0,0,0,7,2008,"COD","Abnorml",11.355101379776661
432,"__50","RM",60.0,5586,"Pave","IR1","Bnk","Inside","Gtl","OldTown","Feedr","Norm","1Fam","1.5Fin",6,7,1920,1998,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0.0,"Unf",0.0,901.0,901.0,"GasA","Gd","Y","SBrkr",1088,110,0,1198,0.0,0.0,1,0,4,1,"TA",7,"Typ",0,"None","_NA",1979.0,"_NA",0.0,0.0,"_NA","_NA","N",0,98,0,0,0,0,0,9,2008,"ConLD","Abnorml",11.288531131754366
433,"__160","RM",24.0,1920,"Pave","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","TwnhsE","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",376,"TA","TA","CBlock","TA","TA","No","ALQ",471.0,"Unf",0.0,294.0,765.0,"GasA","Ex","Y","SBrkr",765,600,0,1365,1.0,0.0,1,1,2,1,"TA",6,"Min1",0,"None","Detchd",1971.0,"Unf",2.0,440.0,"TA","TA","Y",240,36,0,0,0,0,0,8,2007,"WD","Normal",11.715866308966918
434,"__60","RL",100.0,10839,"Pave","IR1","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0.0,"Unf",0.0,926.0,926.0,"GasA","Ex","Y","SBrkr",926,678,0,1604,0.0,0.0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1997.0,"Fin",2.0,470.0,"TA","TA","Y",0,36,0,0,0,0,0,7,2008,"WD","Normal",12.106252310247962
435,"__180","RM",21.0,1890,"Pave","Reg","Lvl","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","SFoyer",4,7,1972,1972,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","Gd","CBlock","Gd","TA","Av","ALQ",495.0,"Unf",0.0,135.0,630.0,"GasA","Gd","Y","SBrkr",630,0,0,630,1.0,0.0,1,0,1,1,"TA",3,"Typ",0,"None","_NA",1979.0,"_NA",0.0,0.0,"_NA","_NA","Y",88,0,0,0,0,0,0,6,2008,"WD","Normal",11.302204433654575
436,"__60","RL",43.0,10667,"Pave","IR2","Lvl","CulDSac","Gtl","CollgCr","PosN","Norm","1Fam","2Story",7,6,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",385.0,"ALQ",344.0,70.0,799.0,"GasA","Ex","Y","SBrkr",827,834,0,1661,1.0,0.0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",1996.0,"RFn",2.0,550.0,"TA","TA","Y",158,61,0,0,0,0,0,4,2009,"ConLw","Normal",12.26434155365415
437,"__50","RM",40.0,4400,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",6,8,1920,1950,"Gable","CompShg","Stucco","Stucco","None",0,"TA","TA","BrkTil","Fa","TA","No","Unf",0.0,"Unf",0.0,648.0,648.0,"GasA","TA","Y","FuseA",734,384,0,1118,0.0,0.0,1,0,2,1,"TA",6,"Typ",0,"None","Detchd",1990.0,"Unf",2.0,440.0,"TA","TA","Y",0,0,0,0,0,0,0,10,2006,"WD","Normal",11.661345470088502
438,"__45","RM",50.0,6000,"Pave","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",6,7,1926,2004,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","TA","TA","No","Unf",0.0,"Unf",0.0,884.0,884.0,"GasA","Gd","Y","SBrkr",904,0,0,904,0.0,0.0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1926.0,"Unf",1.0,180.0,"TA","TA","Y",0,0,105,0,0,0,0,1,2009,"WD","Normal",11.686878772093667
439,"__30","RL",40.0,4280,"Pave","Reg","Lvl","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story",5,6,1913,2002,"Gable","CompShg","WdShing","Stucco","None",0,"TA","TA","PConc","TA","TA","No","LwQ",365.0,"Unf",0.0,75.0,440.0,"GasA","TA","N","SBrkr",694,0,0,694,0.0,0.0,1,0,2,1,"Gd",4,"Typ",1,"Gd","Detchd",1990.0,"Unf",1.0,352.0,"Gd","TA","P",0,0,34,0,0,0,0,3,2007,"WD","Normal",11.411446296020374
440,"__50","RL",67.0,12354,"Pave","Reg","Lvl","Corner","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",6,8,1920,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","Fa","Mn","Unf",0.0,"Unf",0.0,684.0,684.0,"GasA","Gd","Y","SBrkr",684,512,0,1196,0.0,0.0,1,0,3,1,"Gd",7,"Typ",0,"None","Detchd",2005.0,"Unf",2.0,528.0,"TA","TA","Y",0,46,0,0,0,0,800,8,2009,"ConLI","Normal",11.608235644774552
441,"__20","RL",105.0,15431,"Pave","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",10,5,2008,2008,"Hip","CompShg","VinylSd","VinylSd","Stone",200,"Ex","TA","PConc","Ex","TA","Gd","GLQ",1767.0,"ALQ",539.0,788.0,3094.0,"GasA","Ex","Y","SBrkr",2402,0,0,2402,1.0,0.0,2,0,2,1,"Ex",10,"Typ",2,"Gd","Attchd",2008.0,"Fin",3.0,672.0,"TA","TA","Y",0,72,0,0,170,0,0,4,2009,"WD","Normal",13.226723392728571
442,"__90","RL",92.0,12108,"Pave","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,4,1955,1955,"Gable","CompShg","VinylSd","VinylSd","BrkFace",270,"TA","TA","CBlock","TA","TA","No","ALQ",133.0,"Unf",0.0,1307.0,1440.0,"GasA","TA","N","FuseF",1440,0,0,1440,0.0,0.0,2,0,4,2,"Fa",8,"Typ",0,"None","_NA",1979.0,"_NA",0.0,0.0,"_NA","_NA","Y",0,0,0,0,0,0,0,9,2008,"WD","Normal",11.678439903447801
443,"__50","RM",52.0,6240,"Pave","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,7,1930,1992,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0.0,"Unf",0.0,1078.0,1078.0,"GasA","TA","Y","SBrkr",1128,445,0,1573,0.0,0.0,2,0,3,1,"TA",8,"Typ",1,"Gd","Detchd",1930.0,"Unf",2.0,360.0,"TA","TA","P",0,0,0,0,0,0,0,6,2008,"WD","Normal",12.000891794590137
444,"__120","RL",53.0,3922,"Pave","Reg","Lvl","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2007,"Gable","CompShg","WdShing","Wd Shng","BrkFace",72,"Gd","TA","PConc","Ex","TA","Av","Unf",0.0,"Unf",0.0,1258.0,1258.0,"GasA","Ex","Y","SBrkr",1258,0,0,1258,0.0,0.0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2007.0,"Fin",3.0,648.0,"TA","TA","Y",144,16,0,0,0,0,0,6,2007,"New","Partial",12.058152515453552
445,"__60","RL",70.0,8750,"Pave","Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","TA","No","GLQ",642.0,"Unf",0.0,273.0,915.0,"GasA","Ex","Y","SBrkr",933,975,0,1908,1.0,0.0,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd",1994.0,"Unf",2.0,493.0,"TA","TA","Y",144,133,0,0,0,0,0,7,2008,"WD","Normal",12.254862809699606
446,"__20","RL",73.0,9855,"Pave","Reg","Lvl","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",6,5,1956,1956,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0.0,"Unf",0.0,1436.0,1436.0,"GasA","Fa","Y","SBrkr",1689,0,0,1689,0.0,0.0,1,0,3,1,"TA",7,"Typ",1,"Gd","Attchd",1956.0,"Unf",2.0,480.0,"TA","TA","Y",0,0,0,0,0,0,0,11,2009,"COD","Normal",11.755871643580617
447,"__20","RL",137.0,16492,"Pave","IR1","Lvl","Corner","Gtl","NAmes","PosA","Norm","1Fam","1Story",6,6,1966,2002,"Gable","CompShg","BrkFace","Plywood","None",0,"Gd","TA","CBlock","TA","TA","No","ALQ",247.0,"Rec",713.0,557.0,1517.0,"GasA","Ex","Y","SBrkr",1888,0,0,1888,0.0,0.0,2,1,2,1,"Gd",6,"Mod",1,"Gd","Attchd",1966.0,"Fin",2.0,578.0,"TA","TA","Y",0,0,0,0,0,0,0,6,2010,"WD","Normal",12.154779351142624
448,"__60","RL",73.09784215622918,11214,"Pave","IR1","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1998,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0.0,"Unf",0.0,930.0,930.0,"GasA","Gd","Y","SBrkr",956,930,0,1886,0.0,0.0,2,1,4,1,"Gd",10,"Typ",1,"TA","Attchd",1998.0,"Fin",2.0,431.0,"TA","TA","Y",89,0,0,0,0,0,0,7,2006,"WD","Normal",12.205572520488492
449,"__50","RM",50.0,8600,"Pave","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",6,6,1937,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0.0,"Unf",0.0,780.0,780.0,"GasA","TA","Y","SBrkr",780,596,0,1376,0.0,0.0,2,0,3,1,"TA",7,"Typ",1,"Gd","Detchd",1937.0,"Unf",1.0,198.0,"TA","TA","N",0,0,0,0,0,0,0,6,2006,"WD","Normal",11.691071650353702
450,"__50","RM",50.0,6000,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",3,7,1948,2002,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",331.0,"Unf",0.0,318.0,649.0,"GasA","Ex","Y","SBrkr",679,504,0,1183,0.0,0.0,1,1,2,1,"TA",6,"Typ",0,"None","Detchd",1981.0,"Unf",1.0,308.0,"TA","TA","Y",0,176,0,0,0,0,0,6,2007,"WD","Normal",11.695247021764184
451,"__30","RM",70.0,5684,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",6,8,1930,2005,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0.0,"Unf",0.0,813.0,813.0,"GasA","Ex","Y","FuseA",813,0,0,813,0.0,0.0,1,0,2,1,"Gd",5,"Typ",0,"None","Detchd",1932.0,"Unf",1.0,270.0,"Fa","Fa","N",0,113,0,0,0,0,0,6,2006,"WD","Normal",11.608235644774552
452,"__20","RL",62.0,70761,"Pave","IR1","Low","Inside","Mod","ClearCr","Norm","Norm","1Fam","1Story",7,5,1975,1975,"Gable","WdShngl","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",655.0,"Unf",0.0,878.0,1533.0,"GasA","TA","Y","SBrkr",1533,0,0,1533,1.0,0.0,2,0,2,1,"Gd",5,"Typ",2,"TA","Attchd",1975.0,"Unf",2.0,576.0,"TA","TA","Y",200,54,0,0,0,0,0,12,2006,"WD","Normal",12.542544882151386
453,"__60","RL",71.36189804837213,9303,"Pave","IR1","Lvl","Corner","Gtl","Timber","Norm","Norm","1Fam","2Story",6,5,1996,1997,"Hip","CompShg","VinylSd","VinylSd","BrkFace",42,"Gd","TA","PConc","Ex","TA","No","ALQ",742.0,"Unf",0.0,130.0,872.0,"GasA","Ex","Y","SBrkr",888,868,0,1756,1.0,0.0,2,1,3,1,"TA",7,"Typ",0,"None","Attchd",1996.0,"Fin",2.0,422.0,"TA","TA","Y",144,122,0,0,0,0,0,7,2007,"WD","Normal",12.225875272826354
454,"__60","FV",75.0,9000,"Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0.0,"Unf",0.0,768.0,768.0,"GasA","Ex","Y","SBrkr",786,804,0,1590,0.0,0.0,2,1,3,1,"Gd",6,"Typ",0,"None","Attchd",2008.0,"RFn",2.0,676.0,"TA","TA","Y",0,30,0,0,0,0,0,6,2009,"WD","Normal",12.254862809699606
455,"__90","RL",63.0,9297,"Pave","Reg","Lvl","Inside","Gtl","Mitchel","Norm","Norm","Duplex","1Story",5,5,1976,1976,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",1606.0,"Unf",0.0,122.0,1728.0,"GasA","TA","Y","SBrkr",1728,0,0,1728,2.0,0.0,2,0,4,2,"TA",8,"Typ",0,"None","Detchd",1976.0,"Unf",2.0,560.0,"TA","TA","Y",0,0,0,0,0,0,0,7,2006,"WD","Family",12.144197241812087
456,"__20","RL",80.0,9600,"Pave","Reg","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,6,1973,1973,"Hip","CompShg","HdBoard","HdBoard","BrkFace",320,"TA","TA","CBlock","TA","TA","No","ALQ",916.0,"Unf",0.0,326.0,1242.0,"GasA","Fa","Y","SBrkr",1242,0,0,1242,0.0,0.0,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1973.0,"Unf",2.0,528.0,"TA","TA","Y",0,0,0,0,0,0,0,9,2007,"WD","Normal",12.075394321888057
457,"__70","RM",34.0,4571,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",5,5,1916,1950,"Gable","CompShg","AsbShng","AsbShng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0.0,"Unf",0.0,624.0,624.0,"GasA","Fa","N","SBrkr",624,720,0,1344,0.0,0.0,1,0,4,1,"TA",7,"Typ",0,"None","Detchd",1916.0,"Unf",3.0,513.0,"Fa","Fa","Y",0,0,96,0,0,0,0,5,2008,"COD","Abnorml",11.49272275765271
458,"__20","RL",164.7982122381585,53227,"Pave","IR1","Low","CulDSac","Mod","ClearCr","Norm","Norm","1Fam","1Story",4,6,1954,1994,"Flat","Tar&Grv","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","BLQ",1116.0,"Unf",0.0,248.0,1364.0,"GasA","Ex","Y","SBrkr",1663,0,0,1663,1.0,0.0,1,0,2,1,"Gd",6,"Min1",2,"Gd","Attchd",1954.0,"Fin",2.0,529.0,"TA","TA","Y",224,137,0,0,0,0,0,3,2008,"WD","Normal",12.4529327234617
459,"__70","RM",46.09772228646443,5100,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,7,1925,1996,"Hip","CompShg","Stucco","Wd Shng","None",0,"TA","Gd","PConc","TA","TA","No","Unf",0.0,"Unf",0.0,588.0,588.0,"GasA","Fa","Y","SBrkr",833,833,0,1666,0.0,0.0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1925.0,"Unf",1.0,228.0,"TA","TA","Y",192,63,0,0,0,0,0,6,2008,"WD","Normal",11.9891596439666
460,"__50","RL",54.60196882897173,7015,"Pave","IR1","Bnk","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,4,1950,1950,"Gable","CompShg","MetalSd","MetalSd","BrkCmn",161,"TA","TA","CBlock","TA","TA","No","LwQ",185.0,"Unf",0.0,524.0,709.0,"GasA","TA","Y","SBrkr",979,224,0,1203,1.0,0.0,1,0,3,1,"Gd",5,"Typ",1,"TA","Detchd",1950.0,"Unf",1.0,352.0,"TA","TA","Y",0,0,248,0,0,0,0,7,2009,"WD","Normal",11.608235644774552
461,"__60","FV",75.0,8004,"Pave","IR1","Lvl","Inside","Gtl","Somerst","RRAn","Norm","1Fam","2Story",8,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","Stone",110,"Gd","TA","PConc","Gd","TA","No","GLQ",544.0,"Unf",0.0,288.0,832.0,"GasA","Ex","Y","SBrkr",832,1103,0,1935,1.0,0.0,2,1,3,1,"TA",8,"Typ",0,"None","BuiltIn",2009.0,"Fin",2.0,552.0,"TA","TA","Y",0,150,0,0,0,0,0,12,2009,"New","Partial",12.481561937216318
462,"__70","RL",60.0,7200,"Pave","Reg","Lvl","Inside","Gtl","SWISU","Feedr","Norm","1Fam","2Story",7,9,1936,2007,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","PConc","Gd","Gd","No","ALQ",350.0,"BLQ",210.0,0.0,560.0,"GasA","Ex","Y","SBrkr",575,560,0,1135,1.0,0.0,1,0,3,1,"Gd",6,"Typ",0,"None","Detchd",1971.0,"RFn",2.0,576.0,"TA","TA","Y",256,0,0,0,0,0,0,4,2009,"WD","Normal",11.951180395901384
463,"__20","RL",60.0,8281,"Pave","IR1","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",553.0,"BLQ",311.0,0.0,864.0,"GasA","Gd","Y","SBrkr",864,0,0,864,0.0,0.0,1,0,3,1,"TA",5,"Typ",1,"Po","Detchd",1965.0,"Unf",1.0,360.0,"TA","TA","Y",0,0,236,0,0,0,0,12,2009,"WD","Normal",11.041048081342682
464,"__70","RL",74.0,11988,"Pave","IR1","HLS","Inside","Mod","Crawfor","Norm","Norm","1Fam","2Story",6,7,1934,1995,"Hip","CompShg","Stucco","Stucco","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",326.0,"Unf",0.0,389.0,715.0,"GasA","Fa","Y","FuseA",849,811,0,1660,0.0,0.0,1,1,3,1,"TA",6,"Typ",1,"Gd","Detchd",1939.0,"Unf",1.0,240.0,"TA","TA","Y",0,0,0,0,0,0,0,8,2008,"WD","Normal",12.147913731356642
465,"__20","RL",60.0,8430,"Pave","Reg","HLS","Inside","Mod","CollgCr","Norm","Norm","1Fam","1Story",5,5,1978,1978,"Gable","CompShg","HdBoard","HdBoard","BrkFace",136,"TA","TA","CBlock","Gd","TA","No","Rec",616.0,"Unf",0.0,424.0,1040.0,"GasA","TA","Y","SBrkr",1040,0,0,1040,0.0,0.0,2,0,3,1,"TA",5,"Typ",0,"None","_NA",1979.0,"_NA",0.0,0.0,"_NA","_NA","Y",0,0,0,0,0,0,0,8,2009,"WD","Normal",11.728036844587175
466,"__120","RM",43.42978385264602,3072,"Pave","Reg","Lvl","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2004,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",18,"Gd","TA","PConc","Gd","TA","No","Unf",0.0,"Unf",0.0,1375.0,1375.0,"GasA","Ex","Y","SBrkr",1414,0,0,1414,0.0,0.0,2,0,2,1,"Gd",6,"Typ",1,"TA","Attchd",2004.0,"Fin",2.0,398.0,"TA","TA","Y",144,20,0,0,0,0,0,5,2006,"WD","Normal",12.093687514935382
467,"__20","RL",85.0,10628,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1970,1970,"Flat","Tar&Grv","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","Gd","Gd","GLQ",778.0,"Unf",0.0,499.0,1277.0,"GasA","TA","Y","SBrkr",1277,0,0,1277,1.0,0.0,1,0,2,1,"TA",5,"Typ",1,"Po","Attchd",1970.0,"Unf",2.0,526.0,"TA","TA","Y",0,0,0,0,176,0,0,4,2007,"WD","Normal",12.025749091398891
468,"__70","RL",79.0,9480,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Artery","Norm","1Fam","2Story",5,7,1942,1995,"Gable","CompShg","MetalSd","MetalSd","Stone",224,"TA","TA","CBlock","TA","TA","No","LwQ",386.0,"Unf",0.0,342.0,728.0,"GasA","Ex","Y","SBrkr",888,756,0,1644,0.0,0.0,1,1,3,1,"Gd",7,"Typ",2,"Gd","Attchd",1942.0,"Unf",1.0,312.0,"TA","TA","Y",168,0,0,0,0,0,0,6,2007,"WD","Normal",11.894780707439258
469,"__20","RL",98.0,11428,"Pave","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",248,"Gd","TA","PConc","Gd","TA","No","Unf",0.0,"Unf",0.0,1626.0,1626.0,"GasA","Ex","Y","SBrkr",1634,0,0,1634,0.0,0.0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006.0,"RFn",3.0,866.0,"TA","TA","Y",0,44,0,0,0,0,0,5,2007,"WD","Normal",12.429216196844383
470,"__60","RL",76.0,9291,"Pave","IR1","Lvl","Corner","Gtl","SawyerW","RRNe","Norm","1Fam","2Story",6,5,1993,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"Gd","TA","PConc","Gd","TA","No","GLQ",426.0,"Unf",0.0,406.0,832.0,"GasA","Ex","Y","SBrkr",832,878,0,1710,0.0,0.0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd",1993.0,"RFn",2.0,506.0,"TA","TA","Y",144,70,0,0,0,0,0,6,2008,"WD","Normal",12.138863895836725
471,"__120","RL",50.03939101297009,6820,"Pave","IR1","Lvl","Corner","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1985,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",368.0,"BLQ",1120.0,0.0,1488.0,"GasA","TA","Y","SBrkr",1502,0,0,1502,1.0,0.0,1,1,1,1,"Gd",4,"Typ",0,"None","Attchd",1985.0,"RFn",2.0,528.0,"TA","TA","Y",0,54,0,0,140,0,0,6,2010,"WD","Normal",12.26434155365415
472,"__60","RL",92.0,11952,"Pave","Reg","Lvl","Inside","Gtl","NWAmes","PosA","Norm","1Fam","2Story",7,6,1977,1977,"Mansard","WdShake","WdShing","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0.0,"Unf",0.0,808.0,808.0,"GasA","TA","Y","SBrkr",1161,808,0,1969,0.0,0.0,2,1,3,1,"TA",8,"Typ",1,"Gd","Attchd",1977.0,"RFn",2.0,534.0,"TA","TA","Y",0,0,0,0,276,0,0,11,2007,"WD","Normal",12.154779351142624
473,"__180","RM",35.0,3675,"Pave","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","TwnhsE","SLvl",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",80,"TA","TA","PConc","Gd","TA","Gd","GLQ",459.0,"Unf",0.0,88.0,547.0,"GasA","Ex","Y","SBrkr",1072,0,0,1072,1.0,0.0,1,0,2,1,"TA",5,"Typ",0,"None","Basment",2005.0,"RFn",2.0,525.0,"TA","TA","Y",0,28,0,0,0,0,0,6,2008,"WD","Normal",11.904967552746252
474,"__20","RL",110.0,14977,"Pave","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",304,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1350.0,"Unf",0.0,626.0,1976.0,"GasA","Ex","Y","SBrkr",1976,0,0,1976,1.0,0.0,2,0,2,1,"Gd",7,"Typ",1,"Ex","Attchd",2006.0,"RFn",3.0,908.0,"TA","TA","Y",250,63,0,0,0,0,0,7,2007,"New","Partial",12.994530005894443
475,"__120","RL",41.0,5330,"Pave","Reg","Lvl","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,2000,2000,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",1196.0,"Unf",0.0,298.0,1494.0,"GasA","Ex","Y","SBrkr",1652,0,0,1652,1.0,0.0,2,0,2,1,"Ex",6,"Typ",0,"None","Attchd",2000.0,"RFn",2.0,499.0,"TA","TA","Y",96,48,0,0,0,0,0,8,2007,"WD","Normal",12.43320821811392
476,"__20","RL",80.0,8480,"Pave","Reg","Lvl","Corner","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1963,1963,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",630.0,"Unf",0.0,340.0,970.0,"GasA","TA","Y","SBrkr",970,0,0,970,1.0,0.0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd",1996.0,"Unf",2.0,624.0,"TA","TA","Y",0,24,0,0,192,0,0,7,2007,"WD","Normal",11.794337924408413
477,"__20","RL",75.0,13125,"Pave","Reg","Lvl","Inside","Mod","CollgCr","Norm","Norm","1Fam","1Story",6,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",215,"TA","TA","PConc","Gd","TA","Gd","GLQ",994.0,"Unf",0.0,484.0,1478.0,"GasA","Ex","Y","SBrkr",1493,0,0,1493,1.0,0.0,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd",1997.0,"Fin",2.0,508.0,"TA","TA","Y",140,39,0,0,0,0,0,4,2008,"WD","Normal",12.249610947544657
478,"__60","RL",105.0,13693,"Pave","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",772,"Ex","TA","PConc","Gd","TA","Av","Unf",0.0,"Unf",0.0,2153.0,2153.0,"GasA","Ex","Y","SBrkr",2069,574,0,2643,0.0,0.0,2,1,3,1,"Ex",9,"Typ",1,"Gd","BuiltIn",2006.0,"Fin",3.0,694.0,"TA","TA","Y",414,84,0,0,0,0,0,3,2007,"WD","Normal",12.84792653170257
